City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
249,Lugazi,UG,0.3772,32.9197,64.24,69,40,1.36,scattered clouds
250,Egvekinot,RU,66.3167,-179.1667,-20.0,83,66,18.19,broken clouds
251,Kem,RU,64.9555,34.5793,33.69,91,100,18.1,overcast clouds
252,Baruun-Urt,MN,46.6806,113.2792,-12.93,90,7,7.52,clear sky
253,Tuktoyaktuk,CA,69.4541,-133.0374,-8.19,98,100,7.29,overcast clouds
254,Ossora,RU,59.2353,163.0719,-5.04,86,81,4.63,broken clouds
255,Katsuura,JP,35.1333,140.3,45.01,64,96,10.6,overcast clouds
256,Shubarshi,KZ,48.5872,57.1869,8.91,76,23,9.15,few clouds
257,Waipawa,NZ,-41.4122,175.5153,69.57,58,3,4.34,clear sky
258,Mantua,IT,45.1667,10.7833,41.61,91,86,5.01,overcast clouds
259,Xichang,CN,27.8964,102.2634,28.36,79,6,3.47,clear sky
260,Hambantota,LK,6.1241,81.1185,74.21,90,92,11.99,very heavy rain
261,Hamilton,US,39.1834,-84.5333,44.78,90,100,14.97,overcast clouds
262,Severo-Kurilsk,RU,50.6789,156.125,21.42,63,83,11.72,broken clouds
263,Korla,CN,41.7597,86.1469,3.74,95,85,2.26,overcast clouds
264,Vestmannaeyjar,IS,63.4427,-20.2734,27.55,67,6,15.19,clear sky
265,Filingue,NE,14.3521,3.3168,66.97,15,56,10.0,broken clouds
266,Kaeo,NZ,-35.1,173.7833,69.33,73,18,12.24,few clouds
267,Gizo,SB,-8.103,156.8419,84.6,69,98,6.82,overcast clouds
268,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.01,79,100,8.1,overcast clouds
269,Victoria,HK,22.2855,114.1577,55.94,85,100,3.0,overcast clouds
270,Isangel,VU,-19.55,169.2667,81.25,62,78,12.21,broken clouds
271,Tuatapere,NZ,-46.1333,167.6833,62.6,68,51,8.52,broken clouds
272,Kununurra,AU,-15.7667,128.7333,78.78,89,40,0.0,scattered clouds
273,Channel-Port Aux Basques,CA,47.5702,-59.1367,41.29,98,100,34.54,light rain
274,Rockport,US,28.0206,-97.0544,74.08,91,0,5.75,mist
275,San Cristobal,VE,7.7669,-72.225,66.85,94,75,2.89,broken clouds
276,Burnie,AU,-41.0667,145.9167,65.95,83,100,12.64,overcast clouds
277,Olafsvik,IS,64.8945,-23.7142,27.86,71,61,21.03,broken clouds
278,Zelenikovo,MK,41.8867,21.5869,44.65,87,75,4.61,broken clouds
279,Muroto,JP,33.2833,134.15,47.53,70,76,16.35,broken clouds
280,Ancud,CL,-41.8697,-73.8203,57.52,77,66,2.1,broken clouds
281,Bud,US,39.447,-86.1758,48.06,97,100,13.6,overcast clouds
282,Sioux Lookout,CA,50.1001,-91.917,30.81,97,100,5.64,overcast clouds
283,Verkh-Usugli,RU,52.7,115.1667,-23.87,94,11,3.76,few clouds
284,Marsh Harbour,BS,26.5412,-77.0636,66.94,55,2,6.08,clear sky
285,Ostrovnoy,RU,68.0531,39.5131,30.24,86,96,22.53,overcast clouds
286,Bac Lieu,VN,9.285,105.7244,75.97,83,57,6.67,broken clouds
287,Lampazos De Naranjo,MX,27.0167,-100.5167,75.78,20,1,6.08,clear sky
288,Berlevag,NO,70.8578,29.0864,33.8,80,100,19.57,overcast clouds
289,Pangnirtung,CA,66.1451,-65.7125,-31.0,68,0,0.0,clear sky
290,Lethem,GY,3.3803,-59.7968,80.96,66,79,10.85,broken clouds
291,Grindavik,IS,63.8424,-22.4338,28.87,74,20,20.71,few clouds
292,Lazdijai,LT,54.2333,23.5167,34.68,97,91,13.02,overcast clouds
293,Hovd,MN,48.0056,91.6419,0.1,72,98,2.1,overcast clouds
294,North Bend,US,43.4065,-124.2243,49.15,97,51,6.44,broken clouds
295,Boali,CF,4.8005,18.1275,76.5,28,90,1.41,overcast clouds
296,Tazovskiy,RU,67.4667,78.7,-26.37,95,40,8.39,scattered clouds
297,Alto Araguaia,BR,-17.3147,-53.2153,69.91,94,100,7.31,overcast clouds
298,Rovaniemi,FI,66.5,25.7167,29.61,93,75,17.27,broken clouds
299,Yushu,CN,44.8,126.5333,-0.62,86,63,7.78,broken clouds
300,Swift Current,CA,50.2834,-107.8014,20.21,86,100,12.66,mist
301,Kuhdasht,IR,33.535,47.6061,40.33,86,0,2.98,clear sky
302,Tecpan,GT,14.7623,-90.9947,52.92,94,45,3.85,scattered clouds
303,Haines Junction,CA,60.7522,-137.5108,21.29,97,100,2.84,overcast clouds
304,Vao,NC,-22.6667,167.4833,75.85,70,99,17.81,overcast clouds
305,Guerrero Negro,MX,27.9769,-114.0611,64.89,75,60,14.88,broken clouds
306,Havelock,US,34.8791,-76.9013,49.95,63,92,5.5,overcast clouds
307,Eureka,US,40.8021,-124.1637,52.93,79,100,7.0,overcast clouds
308,Maamba,ZM,-17.3667,27.15,67.46,96,100,3.18,light rain
309,Pingliang,CN,35.5392,106.6861,18.23,57,100,2.46,overcast clouds
310,Salinas,US,36.6777,-121.6555,54.28,81,82,3.0,broken clouds
311,Kazuno,JP,40.1836,140.7872,27.12,80,96,8.01,overcast clouds
312,Luanda,AO,-8.8368,13.2343,77.54,82,100,5.48,overcast clouds
313,Saint Anthony,US,45.0205,-93.218,35.2,95,100,5.75,snow
314,Fortuna,US,40.5982,-124.1573,52.66,77,40,12.66,scattered clouds
315,Ribeira Grande,PT,38.5167,-28.7,55.78,77,21,7.0,few clouds
316,Brae,GB,60.3964,-1.353,37.31,87,100,27.72,light rain
317,Gazanjyk,TM,39.2446,55.5154,25.48,63,52,11.61,broken clouds
318,Nhulunbuy,AU,-12.2333,136.7667,86.61,74,40,8.05,scattered clouds
319,Arcata,US,40.8665,-124.0828,52.93,78,20,8.05,few clouds
320,Carballo,ES,43.213,-8.691,55.06,91,89,16.98,overcast clouds
321,Ust-Ilimsk,RU,58.0006,102.6619,-2.42,99,100,3.56,light snow
322,Suntar,RU,62.1444,117.6319,-34.98,98,100,4.7,overcast clouds
323,Boras,SE,57.721,12.9401,38.1,82,100,13.4,overcast clouds
324,Nemuro,JP,43.3236,145.575,20.79,66,60,10.83,broken clouds
325,Flinders,AU,-34.5833,150.8552,83.05,64,72,5.01,broken clouds
